fips,county,state,first_record_year,records,lizard_and_snake_records,normal_djf_tmin_c,population_2020,area_km2,density_per_km2,dist_interstate_km,interstate_km_in_county,dist_city100k_km,nearest_city100k,effort_status
01001,Autauga,AL,,0,197,2.84,58805,1539.6,38.2,5.9,24.9,23.0,"Montgomery, Alabama",
01009,Blount,AL,,0,403,1.24,59134,1670.0,35.41,23.9,11.6,52.2,"Birmingham, Alabama",
01017,Chambers,AL,,0,222,1.48,34772,1545.0,22.51,5.5,18.3,50.9,"Columbus, Georgia",
01021,Chilton,AL,,0,156,2.07,45014,1794.5,25.08,5.7,45.1,67.7,"Montgomery, Alabama",
01033,Colbert,AL,,0,292,0.18,57227,1534.9,37.28,68.2,0.0,99.5,"Huntsville, Alabama",
01045,Dale,AL,,0,169,4.39,49326,1453.4,33.94,69.1,0.0,126.0,"Montgomery, Alabama",
01051,Elmore,AL,,0,860,2.7,87977,1601.9,54.92,17.2,9.6,22.5,"Montgomery, Alabama",
01065,Hale,AL,,0,120,2.65,14785,1667.8,8.86,27.1,0.0,112.4,"Birmingham, Alabama",
01079,Lawrence,AL,,0,300,0.23,33073,1788.8,18.49,33.9,0.0,65.8,"Huntsville, Alabama",
01083,Limestone,AL,,0,394,0.29,103570,1450.2,71.42,0.1,58.7,31.6,"Huntsville, Alabama",
01099,Monroe,AL,,0,157,4.08,19772,2656.5,7.44,28.1,0.0,110.0,"Mobile, Alabama",
01107,Pickens,AL,,0,38,2.13,19123,2282.8,8.38,42.1,0.0,120.4,"Birmingham, Alabama",
01121,Talladega,AL,,0,155,1.44,82149,1908.2,43.05,23.9,28.7,60.9,"Birmingham, Alabama",
05141,Van Buren,AR,,0,138,-1.13,15796,1834.1,8.61,47.6,0.0,92.7,"Little Rock, Arkansas",
05145,White,AR,,0,349,0.45,76822,2680.8,28.66,48.6,0.0,72.3,"Little Rock, Arkansas",
06005,Amador,CA,,0,662,2.16,40474,1540.0,26.28,57.4,0.0,51.4,"Elk Grove, California",
06021,Glenn,CA,,0,364,2.75,28917,3403.1,8.5,2.2,46.6,127.7,"Roseville, California",
06033,Lake,CA,,0,1739,2.32,68163,3254.2,20.95,54.0,0.0,60.1,"Santa Rosa, California",
06043,Mariposa,CA,,0,3447,-0.06,17131,3752.4,4.57,101.9,0.0,89.7,"Fresno, California",
06055,Napa,CA,,0,3001,3.74,138019,1938.3,71.21,19.7,2.3,25.4,"Vallejo, California",
06089,Shasta,CA,,0,7178,0.07,182155,9778.3,18.63,5.2,100.1,222.0,"Roseville, California",
06099,Stanislaus,CA,,0,817,4.0,552878,3871.6,142.8,25.9,45.6,4.3,"Modesto, California",
06115,Yuba,CA,,0,472,3.54,81575,1636.5,49.85,43.3,0.0,46.7,"Roseville, California",
08003,Alamosa,CO,,0,137,-13.53,16376,1871.6,8.75,96.3,0.0,140.4,"Pueblo, Colorado",
08013,Boulder,CO,,0,3012,-8.48,330758,1881.1,175.83,17.1,0.0,9.3,"Boulder, Colorado",
08014,Broomfield,CO,,0,81,-7.0,74112,85.6,866.22,5.9,7.4,10.9,"Thornton, Colorado",
08025,Crowley,CO,,0,53,-8.59,5922,2039.4,2.9,65.4,0.0,65.6,"Pueblo, Colorado",
08031,Denver,CO,,0,461,-7.25,715522,396.3,1805.65,3.2,38.7,3.8,"Denver, Colorado",
08035,Douglas,CO,,0,1341,-8.46,357978,2176.2,164.49,0.4,50.4,11.1,"Centennial, Colorado",
08047,Gilpin,CO,,0,38,-9.77,5808,388.2,14.96,12.2,0.0,25.3,"Boulder, Colorado",
12083,Marion,FL,,0,7522,8.31,375908,4104.0,91.6,5.7,60.9,60.3,"Gainesville, Florida",
12087,Monroe,FL,,0,14477,15.55,82874,2546.7,32.54,154.3,0.0,154.4,"Miami, Florida",
12095,Orange,FL,,0,17690,10.79,1429908,2339.9,611.11,0.4,39.6,1.6,"Orlando, Florida",
12111,St. Lucie,FL,,0,2204,12.61,329226,1481.3,222.26,1.6,43.0,6.7,"Port St. Lucie, Florida",
12119,Sumter,FL,,0,872,9.06,129752,1416.6,91.6,6.1,45.6,71.1,"Orlando, Florida",
12125,Union,FL,,0,123,6.49,16147,630.8,25.6,21.3,0.0,40.0,"Gainesville, Florida",
13001,Appling,GA,,0,43,4.55,18444,1313.3,14.04,68.9,0.0,121.7,"Savannah, Georgia",
13013,Barrow,GA,,0,116,1.44,83505,415.2,201.12,14.1,3.0,34.3,"Athens-Clarke County, Georgia",
13029,Bryan,GA,,0,497,5.0,44738,1129.2,39.62,2.0,33.0,27.6,"Savannah, Georgia",
13043,Candler,GA,,0,53,4.01,10981,629.5,17.44,3.4,27.8,96.7,"Savannah, Georgia",
13055,Chattooga,GA,,0,59,0.66,24965,811.5,30.76,29.4,0.0,61.6,"Chattanooga, Tennessee",
13059,Clarke,GA,,0,1729,1.55,128671,308.7,416.78,32.7,0.0,2.2,"Athens-Clarke County, Georgia",
13071,Colquitt,GA,,0,137,4.69,45898,1409.4,32.57,29.7,0.0,95.8,"Tallahassee, Florida",
13079,Crawford,GA,,0,19,2.39,12130,841.5,14.42,18.3,1.4,102.5,"Columbus, Georgia",
13091,Dodge,GA,,0,26,3.98,19925,1284.4,15.51,35.1,0.0,172.1,"Columbus, Georgia",
13107,Emanuel,GA,,0,154,3.54,22768,1762.8,12.92,19.7,15.3,102.7,"Augusta-Richmond County, Georgia",
13113,Fayette,GA,,0,381,1.81,119194,503.3,236.8,14.4,0.0,37.7,"Atlanta, Georgia",
13123,Gilmer,GA,,0,241,-0.77,31353,1104.7,28.38,32.6,0.0,85.4,"Chattanooga, Tennessee",
08053,Hinsdale,CO,,0,34,-13.53,788,2893.7,0.27,153.9,0.0,233.6,"Colorado Springs, Colorado",
08057,Jackson,CO,,0,14,-13.27,1379,4179.5,0.33,86.8,0.0,102.3,"Fort Collins, Colorado",
08059,Jefferson,CO,,0,2493,-8.06,582910,1979.3,294.5,0.4,31.6,4.7,"Lakewood, Colorado",
08073,Lincoln,CO,,0,207,-9.02,5675,6676.0,0.85,9.9,47.6,110.6,"Colorado Springs, Colorado",
08083,Montezuma,CO,,0,2162,-7.27,25849,5256.5,4.92,190.2,0.0,309.4,"Albuquerque, New Mexico",
08095,Phillips,CO,,0,52,-8.7,4530,1781.7,2.54,35.4,0.0,226.5,"Fort Collins, Colorado",
08105,Rio Grande,CO,,0,122,-13.74,11539,2362.0,4.89,124.0,0.0,159.4,"Pueblo, Colorado",
